State Name,AQI,Category,Defining Parameter,Latitude,Longitude,County Name
Alabama,30,Good,Ozone,34.289001,-85.970065,DeKalb
Alabama,36,Good,PM2.5,33.565278,-86.796389,Jefferson
Alaska,37,Good,Ozone,63.7232,-148.9676,Denali 
Arizona,17,Good,PM10,34.058475,-109.441259,Apache
Arizona,29,Good,PM10,32.00941,-109.38906,Cochise
Arizona,39,Good,Ozone,35.225136,-111.607603,Coconino
Arizona,48,Good,Ozone,33.419017,-110.82967,Gila
Arizona,38,Good,Ozone,34.2439,-113.5586,La Paz
Arizona,176,Unhealthy,Ozone,33.503833,-112.095767,Maricopa
Arizona,10,Good,PM10,36.019302,-114.069205,Mohave
Arizona,35,Good,Ozone,33.85815,-109.97029,Navajo
Arizona,33,Good,PM10,32.248712,-111.218494,Pima
Arizona,38,Good,Ozone,33.293465,-111.285594,Pinal
Arizona,30,Good,PM2.5,31.33745,-110.93715,Santa Cruz
Arizona,27,Good,Ozone,34.340556,-111.683923,Yavapai
Arizona,40,Good,PM10,32.690278,-114.61444,Yuma
Arkansas,7,Good,PM2.5,34.518515,-91.55896,Arkansas
Arkansas,12,Good,PM2.5,33.139471,-91.939208,Ashley
Arkansas,18,Good,Ozone,34.1795,-93.0988,Clark
Arkansas,24,Good,Ozone,35.197288,-90.193141,Crittenden
Arkansas,19,Good,Ozone,35.197288,-90.193141,Crittenden
Arkansas,32,Good,Ozone,35.197288,-90.193141,Crittenden
Arkansas,31,Good,PM2.5,35.197288,-90.193141,Crittenden
Arkansas,33,Good,PM2.5,35.197288,-90.193141,Crittenden
Arkansas,29,Good,Ozone,35.197288,-90.193141,Crittenden
Arkansas,30,Good,PM2.5,35.197288,-90.193141,Crittenden
Arkansas,29,Good,PM2.5,35.197288,-90.193141,Crittenden
Arkansas,30,Good,Ozone,35.197288,-90.193141,Crittenden
Arkansas,39,Good,PM2.5,35.197288,-90.193141,Crittenden
Arkansas,50,Good,PM2.5,35.197288,-90.193141,Crittenden
Arkansas,48,Good,PM2.5,35.197288,-90.193141,Crittenden
Arkansas,52,Moderate,PM2.5,35.197288,-90.193141,Crittenden
Arkansas,31,Good,Ozone,35.197288,-90.193141,Crittenden
Arkansas,30,Good,Ozone,35.197288,-90.193141,Crittenden
Arkansas,24,Good,Ozone,35.197288,-90.193141,Crittenden
Arkansas,31,Good,Ozone,35.197288,-90.193141,Crittenden
Arkansas,32,Good,Ozone,35.197288,-90.193141,Crittenden
Arkansas,32,Good,PM2.5,35.197288,-90.193141,Crittenden
Arkansas,27,Good,NO2,35.197288,-90.193141,Crittenden
Arkansas,26,Good,PM2.5,35.197288,-90.193141,Crittenden
Arkansas,27,Good,PM2.5,35.197288,-90.193141,Crittenden
Arkansas,30,Good,Ozone,35.197288,-90.193141,Crittenden
Arkansas,32,Good,PM2.5,35.197288,-90.193141,Crittenden
Arkansas,24,Good,PM2.5,35.197288,-90.193141,Crittenden
Arkansas,21,Good,Ozone,35.197288,-90.193141,Crittenden
Arkansas,30,Good,PM2.5,35.197288,-90.193141,Crittenden
Arkansas,27,Good,Ozone,35.197288,-90.193141,Crittenden
Arkansas,28,Good,Ozone,35.197288,-90.193141,Crittenden
Arkansas,31,Good,Ozone,35.197288,-90.193141,Crittenden
Arkansas,28,Good,Ozone,35.197288,-90.193141,Crittenden
Arkansas,31,Good,Ozone,35.197288,-90.193141,Crittenden
Arkansas,34,Good,PM2.5,35.197288,-90.193141,Crittenden
Arkansas,54,Moderate,PM2.5,35.197288,-90.193141,Crittenden
Arkansas,32,Good,Ozone,35.197288,-90.193141,Crittenden
Arkansas,31,Good,Ozone,35.197288,-90.193141,Crittenden
Arkansas,31,Good,Ozone,35.197288,-90.193141,Crittenden
Arkansas,31,Good,PM2.5,35.197288,-90.193141,Crittenden
Arkansas,33,Good,PM2.5,35.197288,-90.193141,Crittenden
Arkansas,62,Moderate,PM2.5,35.197288,-90.193141,Crittenden
Arkansas,42,Good,PM2.5,35.197288,-90.193141,Crittenden
Arkansas,43,Good,PM2.5,35.197288,-90.193141,Crittenden
Arkansas,59,Moderate,PM2.5,35.197288,-90.193141,Crittenden
Arkansas,39,Good,PM2.5,35.197288,-90.193141,Crittenden
Arkansas,33,Good,PM2.5,35.197288,-90.193141,Crittenden
Arkansas,33,Good,PM2.5,35.197288,-90.193141,Crittenden
Arkansas,33,Good,Ozone,35.197288,-90.193141,Crittenden
Arkansas,33,Good,PM2.5,35.197288,-90.193141,Crittenden
Arkansas,48,Good,PM2.5,35.197288,-90.193141,Crittenden
Arkansas,54,Moderate,NO2,35.197288,-90.193141,Crittenden
Arkansas,52,Moderate,NO2,35.197288,-90.193141,Crittenden
Arkansas,43,Good,Ozone,35.197288,-90.193141,Crittenden
Arkansas,37,Good,Ozone,35.197288,-90.193141,Crittenden
Arkansas,43,Good,Ozone,35.197288,-90.193141,Crittenden
Arkansas,40,Good,Ozone,35.197288,-90.193141,Crittenden
Arkansas,34,Good,Ozone,35.197288,-90.193141,Crittenden
Arkansas,30,Good,Ozone,35.197288,-90.193141,Crittenden
Arkansas,25,Good,PM2.5,35.197288,-90.193141,Crittenden
Arkansas,32,Good,PM2.5,35.197288,-90.193141,Crittenden
Arkansas,30,Good,Ozone,35.197288,-90.193141,Crittenden
Arkansas,28,Good,NO2,35.197288,-90.193141,Crittenden
Arkansas,40,Good,NO2,35.197288,-90.193141,Crittenden
Arkansas,45,Good,Ozone,35.197288,-90.193141,Crittenden
Arkansas,32,Good,Ozone,35.197288,-90.193141,Crittenden
Arkansas,44,Good,Ozone,35.197288,-90.193141,Crittenden
Arkansas,47,Good,PM2.5,35.197288,-90.193141,Crittenden
Arkansas,53,Moderate,PM2.5,35.197288,-90.193141,Crittenden
