"State.Name","County.Name","Latitude","Longitude","avg_AQI","most_common_category","n_observations"
"","",NA,NA,NA,"",1
"Alabama","DeKalb",34.289001,-85.970065,30,"Good",1
"Alabama","Jefferson",33.565278,-86.796389,36,"Good",1
"Alaska","Denali ",63.7232,-148.9676,37,"Good",1
"Arizona","Apache",34.058475,-109.441259,17,"Good",1
"Arizona","Cochise",32.00941,-109.38906,29,"Good",1
"Arizona","Coconino",35.225136,-111.607603,39,"Good",1
"Arizona","Gila",33.419017,-110.82967,48,"Good",1
"Arizona","La Paz",34.2439,-113.5586,38,"Good",1
"Arizona","Maricopa",33.503833,-112.095767,176,"Unhealthy",1
"Arizona","Mohave",36.019302,-114.069205,10,"Good",1
"Arizona","Navajo",33.85815,-109.97029,35,"Good",1
"Arizona","Pima",32.248712,-111.218494,33,"Good",1
"Arizona","Pinal",33.293465,-111.285594,38,"Good",1
"Arizona","Santa Cruz",31.33745,-110.93715,30,"Good",1
"Arizona","Yavapai",34.340556,-111.683923,27,"Good",1
"Arizona","Yuma",32.690278,-114.61444,40,"Good",1
"Arkansas","Arkansas",34.518515,-91.55896,7,"Good",1
"Arkansas","Ashley",33.139471,-91.939208,12,"Good",1
"Arkansas","Clark",34.1795,-93.0988,18,"Good",1
"Arkansas","Crittenden",35.197288,-90.193141,36.7,"Good",90
"Arkansas","Garland",34.469441,-93.000178,29.6,"Good",29
"Arkansas","Jackson",35.637283,-91.188906,28.5,"Good",28
"Arkansas","Newton",35.825893,-93.203187,35.5,"Good",90
"Arkansas","Polk",34.454514,-94.143521,37.1,"Good",90
"Arkansas","Pulaski",34.681343,-92.328697,42.3,"Good",91
"Arkansas","Union",33.220563,-92.672263,32.3,"Good",25
"Arkansas","Washington",36.011703,-94.167436,39.5,"Good",90
"California","Colusa",39.18919,-121.99887,14.7,"Good",108
"California","Fresno",37.22064,-119.155557,48.3,"Good",59
"California","Imperial",33.213611,-115.54528,31,"Good",34
"California","Inyo",37.155494,-118.293547,26.2,"Good",120
"California","Kern",34.821922,-118.887598,85.2,"Moderate",32
"California","Kings",36.31567,-119.643447,37.1,"Good",120
"California","Mariposa",37.748707,-119.587094,39.7,"Good",59
"California","Merced",37.30832,-120.480456,15.5,"Good",2
"California","Monterey",36.694261,-121.623271,37.6,"Good",91
"California","Nevada",39.32783,-120.184592,35.8,"Good",120
"California","Placer",38.867937,-121.338353,40.5,"Good",31
"California","Plumas",39.81336,-120.47069,69.8,"Moderate",120
"California","Riverside",33.61235,-114.60209,49.8,"Good",90
"California","Sacramento",38.494475,-121.211131,54,"Moderate",32
"California","San Benito",36.48324,-121.15688,37.1,"Good",90
"California","San Bernardino",34.193925,-116.914063,40.9,"Good",58
"California","Santa Barbara",34.733889,-120.008349,39.6,"Good",32
"California","Santa Cruz",37.06315,-122.083092,37.6,"Good",90
"California","Shasta",40.53999,-121.57646,40.1,"Good",59
"California","Solano",38.35655,-121.94986,6,"Good",3
"California","Stanislaus",37.488317,-120.836008,15,"Good",2
"California","Tehama",40.17093,-122.25556,3.5,"Good",2
"California","Tulare",36.031831,-119.055018,34.3,"Good",59
"California","Ventura",34.25239,-119.143182,43.8,"Good",90
"California","Yolo",38.57146,-121.52579,8.3,"Good",6
"Colorado","Adams",39.838119,-104.94984,35.4,"Good",89
"Colorado","Arapahoe",39.638522,-104.569335,31.3,"Good",54
"Colorado","Archuleta",37.205862,-107.254118,32,"Good",54
"Colorado","Boulder",40.012969,-105.267212,33.9,"Good",54
"Colorado","Clear Creek",39.794391,-105.76398,45.1,"Good",54
