"","observed","location_details","county","state","season","title","latitude","longitude","date","number","classification","geohash","temperature_high","temperature_mid","temperature_low","dew_point","humidity","cloud_cover","moon_phase","precip_intensity","precip_probability","precip_type","pressure","summary","conditions","uv_index","visibility","wind_bearing","wind_speed","word_count_of_observed"
"1","It was the winter of 1996 and we were on our way home from church one Sunday evening. It wasn't dark yet. As we came around a corner we watched what we believe to be a bigfoot cross the road. As it came to a barb wired fence it stepped over it without missing a beat. It was like the fence wasn't even there. The fences in this area range from 3 1/2 feet to 4 foot tall. It was tall, dark in color and walked up right. There have been other sightings because our river bottoms were turned into a major lake project. Years ago I had heard the scream of the bigfoot which is something you don't forget.","Hwy 182, Wood County Between Quitman, Texas and Alba, Texas","Wood County","Texas","Winter","Report 2048: Night time road crossing observation",32.7943,-95.5425,"12/22/1996",2048,"Class A","9vu49fh0dk",75.3,71.4,68.1,58.6,64.7,52.9,0.43,NA,0,NA,NA,"Partly cloudy throughout the day.","Partially cloudy",NA,10.5,180.4,20.8,120
"2","I would like to share with you what I saw as a boy. I saw a Bigfoot standing over our burn barrel. I remember being very young when this happened. But I have never forgot what I saw. It was strong and tall but not real tall.  Maybe six foot ten to seven feet tall. It had a smell to him I will never forget. I knew he was still there down in the hollow where I was raised as a child. When we would cut firewood in the saw mill he would make us feel weird like he didn't want us there. My mom would say start the truck and don't stop until we get to the top of the ridge. We found footprints one winter that were very wide at the heel and very large in size like 17-20 inches long. I hope someone hears what I have to say. I would love to talk to someone about this. I know he is still there! It's a perfect place for him to live with so much forest and hills.","Between Whipple and Lower Salem, Ohio.","Washington County","Ohio","Winter","Report 7220: A man relates a series of occurrences on the family farm involving an upright walking hair covered creature",39.54739,-81.39101,"11/1/1978",7220,"Class A","dpn0gzkuhp",61.4,49.4,41.4,43.7,81.8,27.5,0.03,0,0,NA,1025.4,"Partly cloudy throughout the day.","Partially cloudy",NA,4.7,11.9,8.5,181
"3","After getting online to your site we decided to go to a known sighting area as an afternoon excursion since the day was nice.  After walking up several steep inclines and falling often we came up to another ridge that was very difficult to climb for us. We spotted a foot print actually my boyfriend did. I knew he had found something when he called for me to come quick and climb up the last area. I climbed up and there it was a foot print.  I did not really believe in Bigfoot but now we are having second thoughts. Mind you we drove two hours one way, and walked for at least hour up hill off the trails.  We even went back the next day which was today 11/1/09 and made a cast of the print. Of course it was not as deep as yesterday but we still took the print and have pictures from yesterday on the cell phone.","Wayne National Forrest","Washington County","Ohio","Fall","Report 26830: Group finds possible Bigfoot track in Wayne National Forest - w/photos of track and cast",39.42635,-81.37085,"10/31/2009",26830,"Class B","dpn0k37e1u",69,56.8,48.8,48.8,76.3,81.6,0.43,0.489,100,"['rain']",1011.4,"Partly cloudy throughout the day with rain in the morning and afternoon.","Rain, Partially cloudy",NA,8.6,207.2,18.3,161
"4","A large Man like creature covered in hair nearly seven foot tall covered in hair with a gait nearly four foot in length. The stories abounded while we were in school and many sightings would be seen during the begining and near the end of deer season.","Peach Bottom Township, Village of Delta on the Mason Dixon Line near Cardiff and Whiteford Md. About 6 miles from where the Muddy Creek joins the Susquehanna  River down in a hollow south of the Muddy Creek between SR74 and SR851 lies a pastoral hollow near the creek where there is a clearing served by an old logging trail. During the summers of 1973 through 1976 inclusive there were repeated sightings of a bigfoot like creature that  was recounted by many of the students who attended Kennard Dale High School and would camp and party in that hollow during the summer. Also there were several abandoned Slate quarrys heavily wooded and they provided an incredible degree of nearly inaccessable habitat for the alleged beast.","York County","Pennsylvania","Summer",NA,NA,NA,NA,3572,"Class B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47
"5","I have recently become very interested in bigfoot research, and based on reports that I found on this website of previous incidents in the area, decided to go to Great Swamp in Rhode Island to look for any evidence of bigfoot. After walking thirty to forty minutes down the main trail beginning from Great Neck Road, I took a smaller path off of the trail for about five minutes. That is when I noticed a young tree that was snapped in half at about six feet off the ground. More noteworthy, however, was a stick formation that I found a little bit farther down the path on a slightly elevated area of land. It was small, maybe three feet high, but constructed in the same woven-looking manner characteristic of other possible bigfoot stick formations. Other than that, I did not find anything else unusual. It may not be extremely compelling evidence, but I figured it was worth telling experts, who could then take it as far as they saw fit.","From I-95 S, merge onto RI-4 S toward North Kingstown. Take exit 5B to Exeter and continue on Ten Rod Rd. Turn left at S County Trl. Left at Kingstown Rd. Right at Watson Rd. Right at Liberty Ln. Then left at Great Neck Rd.","Washington County","Rhode Island","Fall","Report 16746: Possible stick formation found by hiker in the Great Swamp",41.4596,-71.58906,"11/3/2006",16746,"Class B","drm5fgqrtv",45.8,36.6,29.7,24,62.3,21.9,0.44,0,0,NA,1022.7,"Partly cloudy throughout the day.","Partially cloudy",NA,9.9,318.9,7.7,170
"6","I was walking in the [power line cut] near Daimler Blvd. At around 2:00 PM today I heard loud knocking sounds come from [both sides of cut]. It didn’t sound mechanical but like wood on wood.  Each time I heard one I would then hear another as if in response.","[Investigator (MM) notes: He drove into powerline cut from Daimler Blvd. and parked roughly here: 35.059436, -81.117703 He walked along the treeline toward the west along south edge of powerline cut. At one point he noticed a large oval bedding depression in grass, 3-5 feet from tree line, with noticeable foul smell around it. That is roughly here: 35.059207, -81.121335 As he was walking back toward his work truck from the bedding depression spot he heard the first knocks (four rapid knocks) from the woods on the south side of the cut, in the rough direction of Daimler. His rough guess of where first knocks came from: 35.059099, -81.117416 Shortly after that there were reply knocks coming from within the woods on the north side of the cut, opposite from where first knocks came from. His rough guess for where second knocks came from: 35.060552, -81.117969","York County","South Carolina","Summer","Report 74674: TODAY: Wood knocks reported by professional forester 19 miles southwest of Charlotte NC",35.0591,-81.11742,"7/5/2022",74674,"Class B","dnnr6nk451",91.8,79.4,71.6,72.2,80.9,49.1,0.22,0.297,100,"['rain']",1017.9,"Partly cloudy throughout the day with late afternoon rain.","Rain, Partially cloudy",8,6.4,216,14.2,50
"7","I heard a series of screams/howls that are not of ANY animal I know to be in the state of TN.","The location is in the north eastern part of Middle Tn. It's only half an hour to an hour away from the cumberland plateau area. It was in greenvale tn. in wilson co.   No further directions please","Wilson County","Tennessee","Fall","Report 24799: Hunter hears loud uknown vocalizations near Greenvale",35.9978,-86.2011,"10/27/2008",24799,"Class B","dn6sy3nq2u",56.7,47.5,40.2,23,38.5,56.1,0.96,0,0,NA,1025.9,"Becoming cloudy in the afternoon.","Partially cloudy",NA,9.9,281.7,20.8,21
"8","Driving back to property on Beech Log Road, saw a black stocky figure crossing a bridge. Arms were swinging widely. Dark black. Could not see face. cone shaped head. Saw from the creatures left side as we drove. Creature was partially obscured by a post on the bridge.","Private Drive that has bridge crossing a creek. Runs along power lines.","Wilson County","Tennessee","Fall",NA,NA,NA,NA,30863,"Class A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48
"9","I was hunting hogs and felt I was being watched all day. I turned around to go back to the truck. It was sitting beside a tree. It stood up and I looked at it through a scope. It walked away like I was not even there. [It was] big, very big. The hair on it was dark brown, close to a chestnut horse. The hair was long and matted. The face had no hair on it. It looked almost soft. It eyes were big and brown, very soft and thoughtful like it was working things out. I wished I could draw to show what I mean.","Near the Sabine River.","Wood County","Texas","Winter","Report 8376: Hog hunter encounters unknown animal near Sabine River.",32.69028,-95.61056,"3/25/2004",8376,"Class A","9vu1br4d8m",80,69.1,61.1,61.3,77.6,94.6,0.15,0,0,NA,1021.6,"Cloudy skies throughout the day.","Overcast",NA,8.7,157.2,18.3,107
"10","My husband works on a huge ranch (about 750 acres) outside of Quitman Texas.  The area is heavily wooded.  He often has to trap wild hogs on the property because they tear up and root up everything.  Anyway, he was at the very back of the property checking traps and he saw something run behind a tree.  It was very big, hairy, and running on two feet.  He said the color was charcoal gray and it was about 6 feet tall.  He did not see it again after it hid behind the tree because he left the area immediately.  It really scared him and he says that it reminded him of a huge monkey or ape.  The area that this took place is very secluded with nothing but thick woods all around.",NA,"Wood County","Texas","Spring","Report 14638: Woman describes husband's daytime sighting on ranch near Quitman, TX.",32.85232,-95.46671,"2/1/2006",14638,"Class A","9vu4gse68k",66,59.1,53.3,50.4,74,51.7,0.11,0.091,100,"['rain']",1008.7,"Partly cloudy throughout the day with late afternoon rain.","Rain, Partially cloudy",NA,9.2,154,10,132
