"latitude","longitude"
NA,NA
37.58135,-81.29745
43.4654,-72.7051
37.22647,-81.09017
32.7943,-95.5425
NA,NA
NA,NA
41.45,-71.5
NA,NA
NA,NA
35.3011,-99.1702
39.38745,-81.67339
41.29873,-73.73717
39.40877,-81.73172
39.54739,-81.39101
39.46019,-81.54855
39.3731,-81.65929
39.42635,-81.37085
NA,NA
41.432,-71.65183
41.4596,-71.58906
35.0591,-81.11742
NA,NA
35.9978,-86.2011
36.25466,-86.15759
NA,NA
32.69028,-95.61056
32.85232,-95.46671
41.5,-111.75
NA,NA
NA,NA
NA,NA
NA,NA
41.41125,-111.5833
37.00085,-80.8797
36.932,-80.89
37.0048,-81.11751
43.43623,-72.43684
46.24639,-120.8681
46.71444,-120.6694
46.5602,-121.1458
46.87139,-121.2981
46.8733,-121.3051
46.82167,-121.2764
46.93333,-121.2692
46.0722,-121.3055
46.621,-121.0638
46.4984,-120.4474
46.80505,-121.0909
46.74778,-121.3603
46.85,-121.25
46.52485,-121.2957
NA,NA
NA,NA
46.85524,-121.3034
46.73581,-121.3201
46.51122,-121.2719
46.64558,-121.2323
44.42315,-89.7793
44.4308,-89.7715
NA,NA
43.27314,-76.89331
NA,NA
NA,NA
42.40489,-76.17366
NA,NA
42.32724,-76.75318
NA,NA
NA,NA
41.5036,-73.7171
42.56379,-74.8865
NA,NA
43.26886,-78.28014
NA,NA
42.6153,-77.4028
42.67993,-77.29334
41.26455,-74.1468
NA,NA
43.22649,-78.3253
43.2265,-78.1946
43.34806,-78.23962
NA,NA
NA,NA
42.32921,-75.3811
41.38084,-73.91649
41.49887,-73.59659
NA,NA
NA,NA
NA,NA
41.23296,-74.11488
44.62185,-75.58825
42.28045,-77.60525
NA,NA
NA,NA
NA,NA
42.54346,-77.36516
42.33473,-77.29253
42.13954,-77.15908
42.1174,-75.64853
41.66955,-74.0863
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
43.7268,-73.52
43.6678,-73.51238
NA,NA
43.66344,-73.56614
43.42645,-73.741
43.64706,-75.57448
43.32,-73.81
43.55915,-73.34116
NA,NA
NA,NA
43.56211,-73.45947
NA,NA
NA,NA
NA,NA
43.35086,-73.34347
43.56058,-73.40212
43.00972,-76.10047
43.1546,-75.73906
43.19501,-78.54224
NA,NA
NA,NA
NA,NA
NA,NA
43.0949,-74.27923
44.43419,-74.18324
NA,NA
NA,NA
44.26646,-74.14589
NA,NA
NA,NA
NA,NA
NA,NA
44.66399,-73.73606
42.36176,-75.0116
42.0837,-75.38025
41.97341,-73.66616
41.59773,-73.64642
41.94512,-73.87915
41.87219,-73.55858
41.60511,-73.59506
NA,NA
NA,NA
NA,NA
44.1856,-73.8094
43.81495,-74.00528
44.22388,-73.87529
44.48551,-73.52519
NA,NA
43.13206,-74.47383
NA,NA
43.61833,-74.75611
43.30679,-74.15429
43.46181,-74.23166
43.2696,-77.664
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
42.09785,-77.93121
NA,NA
39.13595,-84.17227
40.47326,-83.44371
40.28488,-81.58699
41.1462,-80.62124
41.10765,-81.4311
40.24354,-84.18491
38.77727,-83.18179
41.29247,-83.05098
38.68516,-83.12916
38.74899,-82.97854
38.83628,-83.12873
38.79215,-82.93085
38.69322,-83.12891
38.9506,-83.02551
40.79362,-81.32337
40.67979,-81.51075
40.7343,-81.15622
40.74451,-81.0758
40.75079,-81.27147
40.75872,-81.19895
40.74065,-81.35575
40.77789,-81.25768
40.90177,-81.26729
40.79438,-81.31219
41.29621,-81.5745
41.31609,-81.56152
41.23638,-81.62379
41.35208,-81.57021
41.2584,-81.56255
41.25248,-81.60838
41.16984,-81.64181
41.23739,-81.60576
NA,NA
41.21424,-81.5168
41.23925,-81.62295
41.36755,-80.76735
41.42579,-80.89096
39.74678,-89.34647
40.62147,-81.34993
40.36831,-81.32809
40.27488,-81.51749
40.6298,-81.5693
40.20275,-81.1188
40.47672,-81.39331
39.25109,-82.3997
39.14299,-82.41166
39.17029,-82.47604
39.24523,-82.27037
39.42606,-84.10463
39.40836,-84.10006
42.24542,-77.98756
NA,NA
NA,NA
42.15947,-78.82683
42.06832,-78.7492
NA,NA
NA,NA
NA,NA
39.49265,-83.11422
39.70042,-84.62567
41.30265,-81.30896
39.17257,-83.26393
39.78594,-82.29162
41.48962,-83.06977
39.63382,-81.40079
40.04603,-82.14536
40.38609,-82.69884
39.61205,-84.36754
39.75531,-81.02917
39.9784,-84.1735
41.02572,-81.77677
41.1174,-80.9835
39.96627,-83.51394
41.38274,-82.12263
41.40985,-82.11172
41.27939,-82.21939
41.05304,-80.51186
41.09087,-80.77592
41.12884,-80.85832
40.95818,-80.97507
41.11447,-80.14099
40.94825,-80.69776
40.91197,-80.70913
41.09302,-81.82391
41.12012,-81.81317
41.06019,-81.79669
41.06648,-81.96419
41.03,-82.0101
41.11417,-82.07824
41.22248,-81.91616
40.9994,-81.71439
39.89172,-84.14493
40.04342,-84.04518
NA,NA
39.8494,-84.15971
39.63662,-84.36874
NA,NA
40.4764,-82.80257
40.46339,-82.82576
40.5896,-82.82214
40.50945,-82.87663
NA,NA
39.90416,-81.98721
40.01209,-82.13298
39.88653,-81.27132
39.64081,-81.47081
39.93154,-81.28671
39.64193,-82.1013
39.63255,-82.26463
39.59607,-82.35291
39.10611,-83.0363
39.0895,-82.8342
39.05922,-83.07492
41.10715,-81.1414
41.31405,-81.38112
41.06499,-81.3741
41.15845,-81.33134
41.18518,-81.03764
41.16187,-81.37181
41.15384,-81.1124
41.2599,-81.1455
41.17646,-81.32425
41.13021,-81.11578
40.98596,-81.11642
41.13356,-81.17155
41.3235,-81.22745
41.05931,-81.3654
NA,NA
41.13183,-81.11617
NA,NA
41.06194,-81.36305
39.64146,-84.48506
39.65361,-84.66399
39.65625,-84.51192
NA,NA
40.92276,-82.44401
40.74705,-82.64864
40.61236,-82.48699
39.10495,-82.79665
39.20212,-83.13585
40.00915,-82.67252
38.54852,-82.66616
41.7164,-81.1438
40.36462,-82.24197
40.34042,-80.64211
41.0672,-82.41861
40.59935,-82.23988
39.48219,-82.32669
40.33345,-81.26559
40.6445,-83.6118
41.14896,-83.43667
39.26903,-84.25986
39.745,-83.825
NA,NA
38.88059,-82.43382
38.79833,-82.54968
38.79381,-82.55177
38.9264,-82.14285
38.965,-82.905
41.44442,-81.20629
41.47349,-81.3726
41.39803,-81.33974
41.5325,-81.1351
41.5621,-81.22853
41.57231,-81.22075
41.50086,-81.28275
41.38199,-81.27506
39.74961,-84.09158
39.6543,-83.7278
40.08946,-81.69818
40.17699,-81.63656
39.95329,-81.39827
40.10801,-81.56232
40.0799,-81.49697
39.92781,-81.61014
40.1218,-81.5117
40.1138,-81.5518
40.11632,-81.52101
40.11682,-81.4936
40.10348,-81.50933
40.12719,-81.50403
40.14003,-81.49033
NA,NA
40.01452,-81.34529
40.6559,-83.9374
40.42655,-81.25576
40.42687,-81.2558
40.36207,-81.18504
40.24786,-81.15179
40.16912,-80.62003
40.26059,-81.22332
40.30527,-80.93864
40.40611,-81.13733
40.30824,-81.24778
40.40192,-81.08803
39.39935,-82.52238
39.58157,-82.36887
NA,NA
39.56573,-82.49833
39.57143,-82.49968
40.61286,-82.17295
40.61286,-82.17295
40.62731,-82.12366
40.59307,-82.14194
40.60291,-82.16943
41.06939,-82.36591
40.36957,-80.77387
40.54269,-80.89606
40.2831,-80.78826
40.39103,-80.6937
40.3725,-80.67828
40.42591,-80.6616
40.29771,-80.75612
40.36887,-80.81801
NA,NA
38.60551,-82.71107
40.05998,-82.28814
39.74107,-82.70263
41.42364,-82.82491
40.26494,-83.0556
41.34728,-84.54476
NA,NA
41.2625,-84.38103
39.03501,-84.1317
39.92821,-83.64597
40.04792,-83.5556
40.54605,-81.26217
39.49695,-84.45905
38.81772,-83.80582
40.01784,-80.93318
NA,NA
39.4484,-82.2244
39.45789,-82.24257
39.47642,-82.24155
NA,NA
39.28537,-81.85331
NA,NA
39.86019,-81.20422
40.01983,-81.07013
39.91209,-81.04791
40.10975,-80.85938
40.10084,-81.14331
NA,NA
38.64301,-83.69977
39.37215,-84.80138
39.37509,-84.79429
40.68514,-81.02382
40.71737,-81.18352
40.64049,-80.90944
40.01979,-83.56088
39.92104,-83.95184
39.85461,-83.94906
39.86096,-83.96562
39.89216,-83.96123
39.01569,-84.08533
39.00175,-84.14354
NA,NA
38.99484,-84.10731
40.6807,-80.57164
40.63606,-80.53528
40.76533,-80.55217
40.69334,-80.57396
40.70386,-80.58332
40.72943,-80.59236
40.68935,-80.57593
40.77972,-80.64831
40.725,-80.616
40.73206,-80.61996
40.87496,-80.7291
40.92344,-80.84042
40.35097,-81.99847
40.2287,-81.96845
40.3244,-81.99955
40.25597,-82.1334
40.15002,-83.02854
41.17222,-82.34181
39.5246,-82.6353
39.59947,-82.63536
NA,NA
39.6279,-82.83647
40.08159,-83.0337
39.89203,-83.00142
41.81902,-80.58163
40.85035,-82.29486
40.73412,-84.06565
38.89665,-83.40573
36.13222,-95.79677
34.38638,-98.99414
35.56637,-94.98001
35.26808,-96.60222
36.18889,-95.74556
35.76152,-99.93007
34.86111,-96.66528
34.81417,-95.65417
35.97389,-97.03333
36.94679,-94.71512
36.62116,-96.12164
35.64389,-97.45694
35.42014,-97.21555
35.53925,-97.67827
NA,NA
36.02306,-97.1225
NA,NA
34.6021,-95.11875
34.50572,-95.12156
NA,NA
NA,NA
NA,NA
36.37919,-95.80589
38.83859,-83.28128
38.73687,-83.39134
NA,NA
39.11929,-83.40022
NA,NA
38.82795,-83.56633
40.65572,-83.93892
40.82327,-82.32803
40.99562,-82.38627
40.60787,-82.26236
40.61111,-82.29642
40.65099,-82.33575
40.8557,-82.26972
40.81139,-82.26806
40.61309,-82.31692
41.81835,-80.93665
41.72735,-80.54558
41.72134,-80.88494
41.81429,-80.84143
41.81287,-80.95952
41.76702,-80.98022
41.85256,-80.96186
36.91528,-95.80417
35.70166,-95.70208
34.495,-96.972
35.36895,-95.97023
36.879,-95.1695
33.89444,-96.75361
NA,NA
33.82444,-97.07361
35.74111,-97.479
35.86972,-96.968
35.00278,-95.34111
NA,NA
35.27056,-95.97
34.73153,-99.81514
34.21174,-96.63857
34.92333,-95.26167
34.72195,-94.96639
34.75139,-95.04778
34.61361,-94.84861
34.44333,-94.65639
34.84167,-94.63111
34.53889,-94.93722
34.52667,-94.70278
34.59583,-94.55944
34.52436,-94.91928
34.689,-94.7325
34.695,-94.685
34.78833,-94.70667
34.64583,-94.575
34.74338,-94.7297
34.73966,-94.7264
NA,NA
34.49108,-94.49968
NA,NA
34.4082,-94.38045
35.0271,-94.66875
34.8146,-94.66875
34.4415,-94.4325
34.64856,-94.46039
35.68583,-97.00389
35.68081,-97.26022
NA,NA
36.22935,-95.2419
35.24194,-97.5625
34.39639,-95.01167
34.45195,-94.60042
34.36778,-94.68028
34.021,-94.4435
34.0775,-94.4095
34.13716,-94.69904
35.2933,-95.94727
35.7575,-95.60667
NA,NA
36.03501,-96.36707
34.62944,-98.62833
35.21111,-97.24139
34.11306,-95.62278
NA,NA
34.9575,-98.31556
34.29861,-96.30222
NA,NA
45.4051,-121.424
45.44986,-117.7273
NA,NA
45.3712,-118.5518
NA,NA
45.5,-118.42
45.9957,-118.1253
45.5789,-118.6016
45.3233,-118.2742
NA,NA
45.6605,-118.5654
NA,NA
45.48318,-118.83
45.84175,-117.991
45.99215,-118.0811
45.46571,-118.875
45.58982,-118.6131
45.6764,-118.5658
45.66721,-118.7056
45.45024,-118.3243
45.43806,-118.0883
NA,NA
45.80374,-118.0603
NA,NA
45.91665,-117.925
44.8464,-121.1537
NA,NA
NA,NA
45.8417,-121.7084
45.24006,-121.6794
45.33935,-121.3226
45.63606,-123.3471
NA,NA
45.4915,-123.2665
