"latitude","longitude","county"
NA,NA,"Washakie County"
37.58135,-81.29745,"Wyoming County"
43.4654,-72.7051,"Windsor County"
37.22647,-81.09017,"Wythe County"
32.7943,-95.5425,"Wood County"
NA,NA,"Williamson County"
NA,NA,"York County"
41.45,-71.5,"Washington County"
NA,NA,"York County"
NA,NA,"Yamhill County"
35.3011,-99.1702,"Washita County"
39.38745,-81.67339,"Washington County"
41.29873,-73.73717,"Westchester County"
39.40877,-81.73172,"Washington County"
39.54739,-81.39101,"Washington County"
39.46019,-81.54855,"Washington County"
39.3731,-81.65929,"Washington County"
39.42635,-81.37085,"Washington County"
NA,NA,"York County"
41.432,-71.65183,"Washington County"
41.4596,-71.58906,"Washington County"
35.0591,-81.11742,"York County"
NA,NA,"Wilson County"
35.9978,-86.2011,"Wilson County"
36.25466,-86.15759,"Wilson County"
NA,NA,"Wilson County"
32.69028,-95.61056,"Wood County"
32.85232,-95.46671,"Wood County"
41.5,-111.75,"Weber County"
NA,NA,"Weber County"
NA,NA,"Weber County"
NA,NA,"Weber County"
NA,NA,"Weber County"
41.41125,-111.5833,"Weber County"
37.00085,-80.8797,"Wythe County"
36.932,-80.89,"Wythe County"
37.0048,-81.11751,"Wythe County"
43.43623,-72.43684,"Windsor County"
46.24639,-120.8681,"Yakima County"
46.71444,-120.6694,"Yakima County"
46.5602,-121.1458,"Yakima County"
46.87139,-121.2981,"Yakima County"
46.8733,-121.3051,"Yakima County"
46.82167,-121.2764,"Yakima County"
46.93333,-121.2692,"Yakima County"
46.0722,-121.3055,"Yakima County"
46.621,-121.0638,"Yakima County"
46.4984,-120.4474,"Yakima County"
46.80505,-121.0909,"Yakima County"
46.74778,-121.3603,"Yakima County"
46.85,-121.25,"Yakima County"
46.52485,-121.2957,"Yakima County"
NA,NA,"Yakima County"
NA,NA,"Yakima County"
46.85524,-121.3034,"Yakima County"
46.73581,-121.3201,"Yakima County"
46.51122,-121.2719,"Yakima County"
46.64558,-121.2323,"Yakima County"
44.42315,-89.7793,"Wood County"
44.4308,-89.7715,"Wood County"
NA,NA,"Wyoming County"
43.27314,-76.89331,"Wayne County"
NA,NA,"Warren County"
NA,NA,"Ulster County"
42.40489,-76.17366,"Tioga County"
NA,NA,"St. Lawrence County"
42.32724,-76.75318,"Schuyler County"
NA,NA,"Rockland County"
NA,NA,"Rensselaer County"
41.5036,-73.7171,"Putnam County"
42.56379,-74.8865,"Otsego County"
NA,NA,"Oswego County"
43.26886,-78.28014,"Orleans County"
NA,NA,"Orange County"
42.6153,-77.4028,"Ontario County"
42.67993,-77.29334,"Ontario County"
41.26455,-74.1468,"Orange County"
NA,NA,"Orleans County"
43.22649,-78.3253,"Orleans County"
43.2265,-78.1946,"Orleans County"
43.34806,-78.23962,"Orleans County"
NA,NA,"Oswego County"
NA,NA,"Otsego County"
42.32921,-75.3811,"Otsego County"
41.38084,-73.91649,"Putnam County"
41.49887,-73.59659,"Putnam County"
NA,NA,"Rensselaer County"
NA,NA,"Rensselaer County"
NA,NA,"Rockland County"
41.23296,-74.11488,"Rockland County"
44.62185,-75.58825,"St. Lawrence County"
42.28045,-77.60525,"Steuben County"
NA,NA,"Steuben County"
NA,NA,"Steuben County"
NA,NA,"Steuben County"
42.54346,-77.36516,"Steuben County"
42.33473,-77.29253,"Steuben County"
42.13954,-77.15908,"Steuben County"
42.1174,-75.64853,"Tioga County"
41.66955,-74.0863,"Ulster County"
NA,NA,"Ulster County"
NA,NA,"Warren County"
NA,NA,"Warren County"
NA,NA,"Warren County"
NA,NA,"Warren County"
43.7268,-73.52,"Warren County"
43.6678,-73.51238,"Warren County"
NA,NA,"Warren County"
43.66344,-73.56614,"Warren County"
43.42645,-73.741,"Warren County"
43.64706,-75.57448,"Warren County"
43.32,-73.81,"Warren County"
43.55915,-73.34116,"Warren County"
NA,NA,"Washington County"
NA,NA,"Washington County"
43.56211,-73.45947,"Washington County"
NA,NA,"Washington County"
NA,NA,"Washington County"
NA,NA,"Washington County"
43.35086,-73.34347,"Washington County"
43.56058,-73.40212,"Washington County"
43.00972,-76.10047,"Onondaga County"
43.1546,-75.73906,"Oneida County"
43.19501,-78.54224,"Niagara County"
NA,NA,"Monroe County"
NA,NA,"Madison County"
NA,NA,"Lewis County"
