"latitude","longitude","date"
NA,NA,""
37.58135,-81.29745,"12/3/2005"
43.4654,-72.7051,"10/8/2005"
37.22647,-81.09017,"4/8/1984"
32.7943,-95.5425,"12/22/1996"
NA,NA,""
NA,NA,""
41.45,-71.5,"9/20/1974"
NA,NA,""
NA,NA,""
35.3011,-99.1702,"9/28/1973"
39.38745,-81.67339,"8/1/1971"
41.29873,-73.73717,"9/1/2010"
39.40877,-81.73172,"7/4/1978"
39.54739,-81.39101,"11/1/1978"
39.46019,-81.54855,"7/4/1984"
39.3731,-81.65929,"7/1/1990"
39.42635,-81.37085,"10/31/2009"
NA,NA,""
41.432,-71.65183,"7/15/1978"
41.4596,-71.58906,"11/3/2006"
35.0591,-81.11742,"7/5/2022"
NA,NA,""
35.9978,-86.2011,"10/27/2008"
36.25466,-86.15759,"7/16/2010"
NA,NA,""
32.69028,-95.61056,"3/25/2004"
32.85232,-95.46671,"2/1/2006"
41.5,-111.75,"5/1/1962"
NA,NA,""
NA,NA,""
NA,NA,""
NA,NA,""
41.41125,-111.5833,"8/31/2007"
37.00085,-80.8797,"10/23/2003"
36.932,-80.89,"6/10/2011"
37.0048,-81.11751,"4/10/2019"
43.43623,-72.43684,"5/24/2015"
46.24639,-120.8681,"10/15/1941"
46.71444,-120.6694,"8/30/1996"
46.5602,-121.1458,"11/1/1996"
46.87139,-121.2981,"6/13/2000"
46.8733,-121.3051,"7/21/2000"
46.82167,-121.2764,"7/25/2000"
46.93333,-121.2692,"10/28/2000"
46.0722,-121.3055,"6/11/2001"
46.621,-121.0638,"10/29/2001"
46.4984,-120.4474,"7/21/2003"
46.80505,-121.0909,"11/7/2003"
46.74778,-121.3603,"7/8/2005"
46.85,-121.25,"8/18/2007"
46.52485,-121.2957,"10/5/2008"
NA,NA,""
NA,NA,""
46.85524,-121.3034,"6/8/2014"
46.73581,-121.3201,"9/15/2014"
46.51122,-121.2719,"12/31/2018"
46.64558,-121.2323,"6/22/2019"
44.42315,-89.7793,"2/18/2012"
44.4308,-89.7715,"12/19/2012"
NA,NA,""
43.27314,-76.89331,"9/20/2003"
NA,NA,""
NA,NA,""
42.40489,-76.17366,"1/1/2001"
NA,NA,""
42.32724,-76.75318,"9/13/1999"
NA,NA,""
NA,NA,""
41.5036,-73.7171,"8/21/1980"
42.56379,-74.8865,"8/1/1973"
NA,NA,""
43.26886,-78.28014,"5/1/1992"
NA,NA,""
42.6153,-77.4028,"10/7/2006"
42.67993,-77.29334,"10/15/2020"
41.26455,-74.1468,"9/14/1994"
NA,NA,""
43.22649,-78.3253,"4/15/1997"
43.2265,-78.1946,"8/22/2002"
43.34806,-78.23962,"1/15/2003"
NA,NA,""
NA,NA,""
42.32921,-75.3811,"5/31/2004"
41.38084,-73.91649,"9/20/2004"
41.49887,-73.59659,"5/17/2020"
NA,NA,""
NA,NA,""
NA,NA,""
41.23296,-74.11488,"8/6/2015"
44.62185,-75.58825,"3/18/2009"
42.28045,-77.60525,"4/21/1980"
NA,NA,""
NA,NA,""
NA,NA,""
42.54346,-77.36516,"11/9/2003"
42.33473,-77.29253,"11/15/2012"
42.13954,-77.15908,"5/17/2022"
42.1174,-75.64853,"10/22/2001"
41.66955,-74.0863,"5/23/1997"
NA,NA,""
NA,NA,""
NA,NA,""
NA,NA,""
NA,NA,""
43.7268,-73.52,"8/15/2001"
43.6678,-73.51238,"5/11/2002"
NA,NA,""
43.66344,-73.56614,"3/31/2006"
43.42645,-73.741,"11/26/2006"
43.64706,-75.57448,"8/18/2007"
43.32,-73.81,"7/26/2009"
43.55915,-73.34116,"8/7/2018"
NA,NA,""
NA,NA,""
43.56211,-73.45947,"11/1/1999"
NA,NA,""
NA,NA,""
NA,NA,""
43.35086,-73.34347,"6/17/2015"
43.56058,-73.40212,"6/12/2019"
43.00972,-76.10047,"10/6/2017"
43.1546,-75.73906,"10/28/1972"
43.19501,-78.54224,"9/21/2002"
NA,NA,""
NA,NA,""
NA,NA,""
NA,NA,""
43.0949,-74.27923,"1/15/1966"
44.43419,-74.18324,"10/25/2022"
NA,NA,""
NA,NA,""
44.26646,-74.14589,"8/15/1996"
NA,NA,""
NA,NA,""
NA,NA,""
NA,NA,""
44.66399,-73.73606,"2/15/2005"
42.36176,-75.0116,"3/1/2003"
42.0837,-75.38025,"10/1/2005"
41.97341,-73.66616,"5/1/1985"
41.59773,-73.64642,"7/15/2007"
41.94512,-73.87915,"2/15/2010"
41.87219,-73.55858,"11/9/2013"
41.60511,-73.59506,"3/18/2018"
NA,NA,""
NA,NA,""
NA,NA,""
44.1856,-73.8094,"12/28/2005"
43.81495,-74.00528,"7/10/2006"
44.22388,-73.87529,"8/6/2010"
44.48551,-73.52519,"5/30/2022"
NA,NA,""
43.13206,-74.47383,"6/16/2004"
NA,NA,""
43.61833,-74.75611,"5/28/1999"
43.30679,-74.15429,"9/24/2010"
43.46181,-74.23166,"7/11/2014"
43.2696,-77.664,"7/27/2005"
NA,NA,""
NA,NA,""
